area_type,location,society,total_sqft,bath,balcony,price,bhk
Super built-up  Area,Harlur,Prncyrn,1303.0,2.0,1.0,90.0,2.0
Super built-up  Area,Harlur,,1754.0,3.0,2.0,132.0,3.0
Super built-up  Area,Harlur,Prncyrn,1174.0,2.0,1.0,75.0,2.0
Super built-up  Area,Harlur,,1756.0,3.0,2.0,134.0,3.0
Super built-up  Area,Harlur,Prncyrn,1197.0,2.0,1.0,78.0,2.0
Super built-up  Area,Harlur,Prncyrn,1290.0,2.0,1.0,89.9,2.0
Super built-up  Area,Harlur,BrriaIm,1386.0,2.0,2.0,85.0,2.0
Super built-up  Area,Harlur,Prncyrn,1174.0,2.0,1.0,74.0,2.0
Super built-up  Area,Harlur,Prncyrn,1174.0,2.0,1.0,78.0,2.0
Super built-up  Area,Harlur,Prncyrn,1755.0,3.0,2.0,115.0,3.0
Built-up  Area,Harlur,Prncyrn,2569.0,4.0,1.0,175.0,4.0
Super built-up  Area,Harlur,Prncyrn,1197.0,2.0,1.0,77.0,2.0
Super built-up  Area,Harlur,SosicCl,1752.12,3.0,2.0,125.0,3.0
Super built-up  Area,Harlur,Prncyrn,2569.0,5.0,3.0,180.0,4.0
Super built-up  Area,Harlur,Prncyrn,1197.0,2.0,1.0,76.0,2.0
Super built-up  Area,Harlur,SrEndPo,2137.0,3.0,2.0,110.0,3.0
Super built-up  Area,Harlur,Prncyrn,1197.0,2.0,1.0,75.0,2.0
Super built-up  Area,Harlur,Prncyrn,1755.0,3.0,2.0,117.0,3.0
Super built-up  Area,Harlur,Prncyrn,1197.0,2.0,1.0,79.9,2.0
Super built-up  Area,Harlur,Shodsir,2990.0,4.0,1.0,225.0,4.0
Built-up  Area,Harlur,,1370.0,2.0,2.0,88.0,2.0
Super built-up  Area,Harlur,Shodsir,1335.0,2.0,0.0,72.76,2.0
Super built-up  Area,Hebbal,Mahosya,1760.0,2.0,2.0,123.0,3.0
Super built-up  Area,Hebbal,SNontle,5611.5,4.0,0.0,477.0,4.0
Super built-up  Area,Hebbal,,1900.0,3.0,2.0,119.0,3.0
Super built-up  Area,Hebbal,Prersis,1349.0,2.0,1.0,98.2,2.0
Super built-up  Area,Hebbal,Prersis,2483.0,5.0,2.0,212.0,4.0
Super built-up  Area,Hebbal,Mahosya,1760.0,2.0,2.0,130.0,3.0
Super built-up  Area,Hebbal,Mahosya,1920.0,3.0,2.0,134.0,3.0
Super built-up  Area,Hebbal,Arcia S,1337.0,2.0,1.0,82.0,2.0
Super built-up  Area,Hebbal,Prersis,1349.0,2.0,1.0,98.0,2.0
Super built-up  Area,Hebbal,Magiaya,1255.0,2.0,1.0,77.68,3.0
Super built-up  Area,Hebbal,Magiaya,1355.0,3.0,1.0,83.87,3.0
Super built-up  Area,Hebbal,Oztarol,1790.0,3.0,2.0,127.0,3.0
Carpet  Area,Hebbal,Arcia S,687.325,2.0,0.0,42.72,2.0
Super built-up  Area,Hebbal,Raard B,2790.0,5.0,3.0,198.0,4.0
Super built-up  Area,Hebbal,Raard B,1985.0,4.0,2.0,189.0,3.0
Super built-up  Area,Hebbal,Prersis,2483.0,5.0,2.0,215.0,4.0
Super built-up  Area,Hebbal,Arcia S,812.0,2.0,2.0,55.0,2.0
Super built-up  Area,Hebbal,Raard B,2790.0,4.0,3.0,198.0,4.0
Super built-up  Area,Hebbal,SNontle,3067.0,4.0,2.0,230.0,4.0
Super built-up  Area,Hebbal,SNontle,2526.0,2.0,2.0,250.0,3.0
Super built-up  Area,Hebbal,SNontle,3067.0,4.0,3.0,230.0,4.0
Super built-up  Area,Hebbal,Magiaya,1255.0,2.0,1.0,77.68,3.0
Carpet  Area,Hebbal,Arcia S,823.0,2.0,1.0,50.63,2.0
Super built-up  Area,Hebbal,Mahosya,1420.0,2.0,1.0,123.0,2.0
Carpet  Area,Hebbal,Arcia S,1069.0,3.0,2.0,65.4,3.0
Super built-up  Area,Hebbal,Mahosya,1420.0,2.0,1.0,99.39,2.0
Super built-up  Area,Hebbal,Cehosy ,4235.0,4.0,2.0,365.0,4.0
Super built-up  Area,Hebbal,Raard B,1700.0,3.0,2.0,124.0,3.0
Super built-up  Area,Hebbal,Cehosy ,3960.0,5.0,3.0,386.0,4.0
Super built-up  Area,Hebbal,Mahosya,1420.0,2.0,1.0,99.39,2.0
Super built-up  Area,Hebbal,Magiaya,1355.0,3.0,1.0,83.87,3.0
Super built-up  Area,Hebbal,Mahosya,1440.0,2.0,1.0,115.0,2.0
Super built-up  Area,Hebbal,Magiaya,1355.0,3.0,1.0,83.87,3.0
Super built-up  Area,Hebbal,Kacesh ,2400.0,4.0,1.0,180.0,3.0
Super built-up  Area,Hebbal,Magiaya,1255.0,2.0,1.0,77.68,3.0
Built-up  Area,Hebbal,Mahosya,1420.0,2.0,2.0,107.0,2.0
Super built-up  Area,Hebbal,Raard B,1320.0,2.0,1.0,92.0,2.0
Built-up  Area,Hebbal,,919.0,2.0,1.0,49.0,2.0
Super built-up  Area,Hebbal,Raard B,1645.0,3.0,2.0,135.0,3.0
Super built-up  Area,Hebbal,,2080.0,3.0,3.0,175.0,3.0
Super built-up  Area,Hebbal,Magiaya,1355.0,3.0,2.0,83.87,3.0
Super built-up  Area,Hebbal,Prersis,2483.0,5.0,2.0,230.0,4.0
Super built-up  Area,Hebbal,SNontle,2600.0,3.0,2.0,195.0,3.0
Super built-up  Area,Hebbal,Raard B,1645.0,3.0,2.0,117.0,3.0
Super built-up  Area,Hebbal,Oztarol,1251.0,2.0,1.0,88.73,2.0
Super built-up  Area,Hebbal,Raard B,1645.0,3.0,2.0,121.0,3.0
Super built-up  Area,Hebbal,Mahosya,1760.0,3.0,2.0,123.0,3.0
Super built-up  Area,Hebbal,Raard B,2790.0,4.0,3.0,198.0,4.0
Super built-up  Area,Hebbal,Cehosy ,3960.0,5.0,3.0,386.0,4.0
Super built-up  Area,Hebbal,Raard B,1645.0,3.0,2.0,120.0,3.0
Super built-up  Area,Hebbal,Magiaya,1255.0,2.0,1.0,90.0,3.0
Super built-up  Area,Hebbal,Raard B,1645.0,3.0,2.0,117.0,3.0
Super built-up  Area,Hebbal,Magiaya,1255.0,3.0,2.0,77.68,3.0
Super built-up  Area,Hebbal,Arcia S,1586.0,3.0,2.0,90.0,3.0
Super built-up  Area,Hebbal,Oztarol,1636.0,3.0,1.0,119.0,3.0
Super built-up  Area,Hebbal,Magiaya,1255.0,2.0,1.0,95.0,3.0
Super built-up  Area,Hebbal,Raard B,2790.0,4.0,3.0,198.0,4.0
Built-up  Area,Hebbal,Cevely ,1269.0,2.0,1.0,73.0,3.0
Super built-up  Area,Hebbal,Magiaya,1255.0,2.0,1.0,95.0,3.0
Super built-up  Area,Hebbal,Arcia S,1088.0,2.0,2.0,61.45,2.0
Super built-up  Area,Hebbal,Prersis,1349.0,2.0,1.0,97.8,2.0
Super built-up  Area,Hebbal,Magiaya,1255.0,3.0,2.0,77.68,3.0
Super built-up  Area,Hebbal,Prersis,1344.0,2.0,1.0,108.0,2.0
Super built-up  Area,Hebbal,Magiaya,1255.0,2.0,1.0,90.0,3.0
Super built-up  Area,Hebbal,Magiaya,1255.0,3.0,2.0,77.68,3.0
Super built-up  Area,Hebbal,Prersis,1138.0,2.0,1.0,110.0,2.0
Super built-up  Area,Hebbal,Raard B,2790.0,5.0,3.0,204.0,4.0
Super built-up  Area,Hebbal,Arcia S,1088.0,2.0,2.0,62.0,2.0
Super built-up  Area,Hebbal,Prersis,1987.0,4.0,2.0,165.0,3.0
Super built-up  Area,Hebbal,Raard B,2790.0,5.0,3.0,198.0,4.0
Built-up  Area,Hebbal,Prersis,1299.0,2.0,1.0,100.0,2.0
Super built-up  Area,Hebbal,Raard B,1645.0,3.0,2.0,117.0,3.0
Super built-up  Area,Hebbal,Chtert ,1390.0,2.0,2.0,95.0,2.0
Super built-up  Area,Hebbal,Prersis,1333.0,2.0,1.0,100.0,2.0
Super built-up  Area,Hebbal,Magiaya,1355.0,3.0,2.0,83.87,3.0
Super built-up  Area,Hebbal,SNontle,2650.0,4.0,3.0,199.0,3.0
Super built-up  Area,Hebbal,Chtert ,1800.0,3.0,2.0,140.0,3.0
Super built-up  Area,Hebbal,MVkleiw,1860.0,3.0,2.0,95.0,3.0
Super built-up  Area,Hebbal,Raard B,2470.0,4.0,2.0,203.0,4.0
Super built-up  Area,Hebbal,Magiaya,1255.0,2.0,1.0,95.0,3.0
Built-up  Area,Hebbal,Prersis,1333.0,2.0,1.0,104.0,2.0
Super built-up  Area,Hebbal,Raard B,1645.0,3.0,2.0,117.0,3.0
Super built-up  Area,Hebbal,SNontle,2600.0,3.0,2.0,199.0,3.0
Super built-up  Area,Hebbal,Prersis,1345.0,2.0,1.0,97.0,2.0
Super built-up  Area,Hebbal,Arcia S,1110.0,3.0,3.0,59.0,3.0
Super built-up  Area,Hebbal,Magiaya,985.0,2.0,2.0,62.0,2.0
Super built-up  Area,Hebbal,Raard B,1320.0,2.0,1.0,91.0,2.0
Super built-up  Area,Hebbal,Kacesh ,2388.0,3.0,1.0,195.0,3.0
Super built-up  Area,Hebbal,,1040.0,2.0,1.0,55.0,2.0
Super built-up  Area,Hebbal,SNontle,2600.0,3.0,2.0,195.0,3.0
Super built-up  Area,Hebbal,Raard B,2630.0,5.0,0.0,188.0,4.0
Super built-up  Area,Hebbal,Raard B,2790.0,5.0,3.0,198.0,4.0
Super built-up  Area,Hebbal,Raard B,1645.0,3.0,2.0,113.0,3.0
Super built-up  Area,Hebbal,Magiaya,1355.0,3.0,2.0,83.87,3.0
Super built-up  Area,Hebbal,Mahosya,1420.0,2.0,1.0,99.39,2.0
Built-up  Area,Hebbal,Thuse F,1590.0,3.0,2.0,96.0,3.0
Super built-up  Area,Hebbal,Arcia S,1162.0,2.0,1.0,69.0,2.0
Built-up  Area,Hebbal,,1100.0,2.0,1.0,60.0,2.0
Super built-up  Area,Hebbal,Cehosy ,4235.0,5.0,3.0,364.0,4.0
Super built-up  Area,Hebbal,Prersis,1299.0,2.0,1.0,97.0,2.0
Super built-up  Area,Hebbal,Magiaya,1255.0,3.0,2.0,77.68,3.0
Super built-up  Area,Hebbal,Raard B,2470.0,5.0,2.0,192.0,4.0
Super built-up  Area,Hebbal,Raard B,1645.0,3.0,2.0,117.0,3.0
Super built-up  Area,Hebbal,Mahosya,1920.0,3.0,2.0,134.0,3.0
Super built-up  Area,Hebbal,Mahosya,1920.0,3.0,2.0,150.0,3.0
Super built-up  Area,Hebbal,Prersis,2375.0,4.0,2.0,189.0,4.0
Super built-up  Area,Hebbal,Mahosya,1420.0,2.0,1.0,99.26,2.0
Super built-up  Area,Hebbal,Oztarol,1252.0,2.0,1.0,92.0,2.0
Super built-up  Area,Hebbal,Raard B,2790.0,4.0,3.0,198.0,4.0
Super built-up  Area,Hebbal,Prersis,1294.0,2.0,1.0,115.0,2.0
Super built-up  Area,Hebbal,Mahosya,1740.0,2.0,1.0,137.0,3.0
Super built-up  Area,Hebbal,Arcia S,1430.0,3.0,1.0,85.0,3.0
Super built-up  Area,Hebbal,Prersis,1662.0,3.0,2.0,155.0,3.0
Built-up  Area,Hebbal,,2250.0,3.0,,219.0,3.0
Super built-up  Area,Hebbal,Prersis,1349.0,2.0,1.0,98.0,2.0
Super built-up  Area,Hebbal,Prersis,1349.0,2.0,1.0,96.8,2.0
Super built-up  Area,Hebbal Kempapura,Goateds,1700.0,3.0,2.0,155.0,3.0
Super built-up  Area,Hebbal Kempapura,Goateds,1800.0,3.0,2.0,175.0,3.0
Super built-up  Area,Hebbal Kempapura,GonumPl,2900.0,4.0,,300.0,3.0
Super built-up  Area,Hebbal Kempapura,GonumPl,3522.0,3.0,2.0,380.0,3.0
Plot  Area,Hebbal Kempapura,,2280.0,5.0,,200.0,5.0
Plot  Area,Hebbal Kempapura,,1200.0,2.0,1.0,125.0,2.0
Super built-up  Area,Hebbal Kempapura,GonumPl,2900.0,4.0,,240.0,3.0
Super built-up  Area,Hebbal Kempapura,GonumPl,3900.0,5.0,,360.0,4.0
Built-up  Area,Hebbal Kempapura,Goateds,1300.0,2.0,2.0,102.0,2.0
Super built-up  Area,Hebbal Kempapura,Goateds,1466.0,2.0,3.0,140.0,3.0
Super built-up  Area,Hebbal Kempapura,GonumPl,3900.0,5.0,,310.0,4.0
Built-up  Area,Hebbal Kempapura,Goateds,1725.0,2.0,1.0,165.0,3.0
Plot  Area,Hebbal Kempapura,,1200.0,3.0,,125.0,3.0
Built-up  Area,Hebbal Kempapura,GonumPl,3408.0,3.0,3.0,260.0,3.0
Super built-up  Area,Hebbal Kempapura,Goateds,1485.0,3.0,3.0,132.0,2.0
Super built-up  Area,Hebbal Kempapura,Goateds,1400.0,2.0,2.0,108.0,2.0
Super built-up  Area,Hebbal Kempapura,Goateds,1800.0,3.0,3.0,150.0,3.0
Plot  Area,Hebbal Kempapura,,2400.0,5.0,2.0,200.0,5.0
Built-up  Area,Hebbal Kempapura,,2800.0,5.0,1.0,220.0,5.0
Built-up  Area,Hebbal Kempapura,Goateds,1785.0,3.0,0.0,165.0,3.0
Super built-up  Area,Hebbal Kempapura,GonumPl,3729.0,4.0,2.0,384.0,4.0
Plot  Area,Hebbal Kempapura,,1200.0,3.0,2.0,148.0,4.0
Super built-up  Area,Hebbal Kempapura,Goateds,1600.0,3.0,3.0,170.0,3.0
Super built-up  Area,Hebbal Kempapura,Goateds,1730.0,3.0,2.0,175.0,3.0
Plot  Area,Hebbal Kempapura,,2485.0,4.0,2.0,198.0,4.0
Super built-up  Area,Hegde Nagar,Sonosty,1569.0,3.0,1.0,101.0,3.0
Super built-up  Area,Hegde Nagar,SoitaCa,2026.0,3.0,2.0,132.0,3.0
Super built-up  Area,Hegde Nagar,SoitaCa,1801.0,3.0,2.0,115.0,3.0
Plot  Area,Hegde Nagar,,1050.0,1.0,,56.0,2.0
Super built-up  Area,Hegde Nagar,Soiniy ,1341.0,2.0,1.0,97.0,2.0
Super built-up  Area,Hegde Nagar,SoisoCa,2112.95,4.0,2.0,145.0,3.0
Plot  Area,Hegde Nagar,,1200.0,4.0,1.0,83.0,4.0
Super built-up  Area,Hegde Nagar,Soiniy ,1703.0,3.0,2.0,113.0,3.0
Super built-up  Area,Hegde Nagar,Sonosty,1570.0,3.0,1.0,105.0,3.0
Super built-up  Area,Hegde Nagar,SoitaCa,1801.0,3.0,2.0,140.0,3.0
Super built-up  Area,Hegde Nagar,Sonosty,1584.01,3.0,1.0,103.0,3.0
Super built-up  Area,Hegde Nagar,SoitaCa,1965.0,4.0,2.0,125.0,3.0
Plot  Area,Hegde Nagar,,1200.0,2.0,0.0,75.0,2.0
Super built-up  Area,Hegde Nagar,SoitaCa,1847.0,3.0,2.0,135.0,3.0
Super built-up  Area,Hegde Nagar,SoitaCa,1965.0,4.0,2.0,132.0,3.0
Super built-up  Area,Hegde Nagar,Soiniy ,1703.0,3.0,2.0,125.0,3.0
Super built-up  Area,Hegde Nagar,SoitaCa,1847.0,3.0,2.0,125.0,3.0
Super built-up  Area,Hegde Nagar,SoisoCa,2144.6,4.0,2.0,145.0,3.0
Super built-up  Area,Hegde Nagar,Soiniy ,1718.0,3.0,2.0,119.0,3.0
Super built-up  Area,Hegde Nagar,SoitaCa,1847.0,3.0,2.0,123.0,3.0
Super built-up  Area,Hegde Nagar,Inaadd ,1340.0,2.0,2.0,72.0,2.0
Super built-up  Area,Hegde Nagar,SoisoCa,2087.01,3.0,2.0,115.0,3.0
Super built-up  Area,Hegde Nagar,Soiniy ,1703.0,3.0,2.0,130.0,3.0
Super built-up  Area,Hegde Nagar,SoisoCa,2087.01,4.0,2.0,135.0,3.0
Super built-up  Area,Hegde Nagar,Soiniy ,1718.0,3.0,2.0,130.0,3.0
Super built-up  Area,Hegde Nagar,SoitaCa,1884.0,4.0,2.0,118.0,3.0
Super built-up  Area,Hegde Nagar,SoitaCa,1930.0,4.0,2.0,122.0,3.0
Super built-up  Area,Hegde Nagar,Sonosty,1584.01,3.0,1.0,104.0,3.0
Super built-up  Area,Hegde Nagar,Dhniail,1168.0,2.0,1.0,68.0,3.0
Super built-up  Area,Hegde Nagar,SoisoCa,2162.03,4.0,2.0,129.0,3.0
Super built-up  Area,Hegde Nagar,SoisoCa,2087.01,4.0,2.0,160.0,3.0
Plot  Area,Hegde Nagar,,1000.0,2.0,0.0,66.0,2.0
Built-up  Area,Hegde Nagar,DSthian,1348.0,2.0,2.0,80.5,3.0
Built-up  Area,Hennur,,1100.0,2.0,1.0,60.0,2.0
Super built-up  Area,Hennur,JahtsHe,2400.0,3.0,,135.0,3.0
Super built-up  Area,Hennur,,1935.0,3.0,2.0,102.0,3.0
Super built-up  Area,Hennur,SLureSi,1345.0,2.0,1.0,69.0,3.0
Super built-up  Area,Hennur,Bront A,1830.0,2.0,3.0,113.0,3.0
Super built-up  Area,Hennur Road,Anavi B,2089.0,3.0,2.0,140.0,3.0
Super built-up  Area,Hennur Road,Mileeou,1385.0,2.0,1.0,83.09,2.0
Built-up  Area,Hennur Road,,2264.0,3.0,1.0,159.0,3.0
Built-up  Area,Hennur Road,,1157.0,2.0,1.0,84.0,2.0
Super built-up  Area,Hennur Road,SaireSa,1904.0,3.0,2.0,120.0,3.0
Super built-up  Area,Hennur Road,SaireSa,1891.0,3.0,1.0,109.0,3.0
Super built-up  Area,Hennur Road,Orens G,1561.0,3.0,2.0,95.0,3.0
Super built-up  Area,Hennur Road,SaireSa,2060.0,3.0,1.0,149.0,3.0
Super built-up  Area,Hennur Road,Puachal,1482.0,2.0,1.0,92.0,3.0
Super built-up  Area,Hennur Road,Puachal,1232.0,2.0,2.0,89.0,2.0
Super built-up  Area,Hennur Road,Puachal,1482.0,2.0,2.0,83.73,3.0
Super built-up  Area,Hennur Road,Puachal,1482.0,2.0,1.0,87.0,3.0
Super built-up  Area,Hennur Road,SaireSa,1891.0,3.0,1.0,139.0,3.0
Super built-up  Area,Hennur Road,ChionCo,1703.0,3.0,,101.0,3.0
Super built-up  Area,Hennur Road,Puachal,1232.0,2.0,0.0,69.61,2.0
Super built-up  Area,Hennur Road,Puachal,1804.0,3.0,2.0,102.0,3.0
Built-up  Area,Hennur Road,Asadacy,2160.0,3.0,2.0,160.0,3.0
Super built-up  Area,Hennur Road,Koagati,1186.0,2.0,1.0,63.0,3.0
Super built-up  Area,Hennur Road,ChionCo,1680.0,3.0,,99.27,3.0
Super built-up  Area,Hennur Road,Maity W,1385.0,2.0,1.0,83.09,2.0
Super built-up  Area,Hennur Road,Samittv,2350.0,3.0,2.0,174.0,3.0
Super built-up  Area,Hennur Road,ChionCo,1586.0,3.0,3.0,93.94,3.0
Super built-up  Area,Hennur Road,,1975.0,3.0,3.0,123.0,3.0
Super built-up  Area,Hennur Road,Maity W,1290.0,2.0,1.0,94.5,3.0
Super built-up  Area,Hennur Road,,901.0,2.0,1.0,49.5,2.0
Super built-up  Area,Hennur Road,Maity W,1445.0,3.0,1.0,86.56,3.0
Super built-up  Area,Hennur Road,Puachal,1482.0,2.0,3.0,97.0,3.0
Super built-up  Area,Hennur Road,Gaodsch,1182.0,2.0,2.0,82.5,2.0
Super built-up  Area,Hennur Road,Koagati,1192.0,2.0,1.0,62.0,3.0
Super built-up  Area,Hennur Road,Koagati,1036.0,2.0,1.0,59.46,2.0
Super built-up  Area,Hennur Road,SaireSa,1891.0,3.0,1.0,109.0,3.0
Super built-up  Area,Hennur Road,Puachal,1232.0,2.0,1.0,69.61,2.0
Super built-up  Area,Hennur Road,Puachal,1804.0,3.0,2.0,102.0,3.0
Super built-up  Area,Hennur Road,Samittv,2320.0,3.0,2.0,170.0,3.0
Super built-up  Area,Hennur Road,SaireSa,1936.0,3.0,1.0,118.0,3.0
Super built-up  Area,Hennur Road,Shxorm ,1590.0,3.0,2.0,96.5,3.0
Built-up  Area,Hennur Road,Maity W,1445.0,2.0,1.0,105.0,3.0
Super built-up  Area,Hennur Road,Koagati,1036.0,2.0,1.0,59.45,2.0
Super built-up  Area,Hennur Road,SaireSa,1832.0,3.0,1.0,125.0,3.0
Super built-up  Area,Hennur Road,Asadacy,1359.0,2.0,2.0,104.0,2.0
Super built-up  Area,Hennur Road,Puachal,1341.0,2.0,1.0,75.76,2.0
Super built-up  Area,Hennur Road,MItatHa,1685.0,3.0,2.0,95.0,3.0
Super built-up  Area,Hennur Road,ChionCo,1414.0,2.0,,84.18,2.0
Super built-up  Area,Hennur Road,SaireSa,1949.0,3.0,1.0,133.0,3.0
Super built-up  Area,Hennur Road,Puachal,1232.0,2.0,2.0,89.0,2.0
Super built-up  Area,Hennur Road,Mileeou,1250.0,2.0,1.0,77.88,3.0
Super built-up  Area,Hennur Road,Samittv,2502.0,4.0,2.0,180.0,4.0
Built-up  Area,Hennur Road,SaireSa,1831.0,3.0,1.0,110.0,3.0
Super built-up  Area,Hennur Road,Puachal,1232.0,2.0,1.0,87.0,2.0
Super built-up  Area,Hennur Road,Puachal,1232.0,2.0,1.0,74.0,2.0
Super built-up  Area,Hennur Road,Puachal,1232.0,2.0,1.0,66.0,2.0
Super built-up  Area,Hennur Road,Puachal,1341.0,2.0,1.0,95.0,2.0
Plot  Area,Hennur Road,,2700.0,3.0,2.0,150.0,3.0
Super built-up  Area,Hennur Road,Puachal,1232.0,2.0,1.0,88.0,2.0
Super built-up  Area,Hennur Road,Samittv,2365.0,4.0,2.0,175.0,3.0
Super built-up  Area,Hennur Road,Samittv,2264.0,3.0,2.0,168.0,3.0
Super built-up  Area,Hennur Road,SaireSa,2002.0,3.0,2.0,120.0,3.0
Super built-up  Area,Hennur Road,Puachal,1232.0,2.0,1.0,69.6,2.0
Super built-up  Area,Hennur Road,Shxorm ,1195.0,2.0,2.0,73.0,2.0
Super built-up  Area,Hennur Road,SaireSa,2041.0,3.0,3.0,128.0,3.0
Super built-up  Area,Hennur Road,Puachal,1232.0,2.0,1.0,87.0,2.0
Super built-up  Area,Hennur Road,Koagati,973.0,2.0,1.0,56.0,2.0
Built-up  Area,Hennur Road,Soncy R,1255.0,2.0,1.0,84.0,2.0
Super built-up  Area,Hennur Road,Puachal,1232.0,2.0,1.0,83.0,2.0
Super built-up  Area,Hennur Road,SaireSa,1832.0,3.0,1.0,116.0,3.0
Super built-up  Area,Hennur Road,ChionCo,2050.0,3.0,,120.0,3.0
Super built-up  Area,Hennur Road,Maity W,1445.0,2.0,2.0,86.69,3.0
Super built-up  Area,Hennur Road,Maity W,1445.0,2.0,1.0,83.0,3.0
Super built-up  Area,Hennur Road,Puachal,1679.0,3.0,2.0,94.86,3.0
Super built-up  Area,Hennur Road,ChionCo,1654.0,3.0,,97.8,3.0
Super built-up  Area,Hennur Road,,1480.0,3.0,,100.0,3.0
Super built-up  Area,Hennur Road,Orens G,1450.0,3.0,1.0,88.6,3.0
Super built-up  Area,Hennur Road,Mileeou,1155.0,2.0,1.0,69.18,2.0
Super built-up  Area,Hennur Road,SaireSa,1904.0,3.0,2.0,129.0,3.0
Super built-up  Area,Hennur Road,SaireSa,1981.0,3.0,1.0,134.0,3.0
Super built-up  Area,Hennur Road,Maity W,1155.0,2.0,1.0,69.18,2.0
Super built-up  Area,Hennur Road,Shxorm ,1590.0,3.0,2.0,105.0,3.0
Super built-up  Area,Hennur Road,SaireSa,2041.0,3.0,3.0,138.0,3.0
Built-up  Area,Hennur Road,Maity W,1100.0,2.0,1.0,78.0,3.0
Built-up  Area,Hennur Road,Ciris P,1880.0,4.0,0.0,154.0,4.0
Super built-up  Area,Hennur Road,Puachal,1232.0,2.0,1.0,69.61,2.0
Super built-up  Area,Hennur Road,ChionCo,1748.0,3.0,,103.0,3.0
Built-up  Area,Hennur Road,Elley B,1460.0,2.0,1.0,80.3,2.0
Super built-up  Area,Hennur Road,Samittv,1933.0,3.0,2.0,140.0,3.0
Super built-up  Area,Hennur Road,Puachal,1232.0,2.0,1.0,69.61,2.0
Super built-up  Area,Hennur Road,Orens G,1450.0,3.0,2.0,79.0,3.0
Super built-up  Area,Hennur Road,Mileeou,1445.0,2.0,1.0,89.56,3.0
Super built-up  Area,Hennur Road,Puachal,1482.0,2.0,1.0,83.73,3.0
Super built-up  Area,Hennur Road,Maity W,1305.0,2.0,1.0,77.0,3.0
Super built-up  Area,Hennur Road,MItatHa,1672.0,3.0,2.0,86.0,3.0
Super built-up  Area,Hennur Road,Orens G,1165.0,2.0,1.0,67.0,2.0
Super built-up  Area,Hennur Road,Puachal,1232.0,2.0,1.0,80.0,2.0
Super built-up  Area,Hennur Road,Mileeou,950.0,2.0,1.0,55.0,2.0
Super built-up  Area,Hennur Road,SaireSa,1891.0,3.0,1.0,110.0,3.0
Super built-up  Area,Hennur Road,DSreerk,1470.0,2.0,1.0,75.0,3.0
Built-up  Area,Hennur Road,Eltert ,1450.0,2.0,2.0,80.0,2.0
Super built-up  Area,Hennur Road,Mileeou,1155.0,2.0,1.0,69.18,2.0
Super built-up  Area,Hennur Road,SaireSa,1936.0,3.0,1.0,131.0,3.0
Built-up  Area,Hoodi,Dhgraas,985.0,2.0,2.0,67.0,2.0
Super built-up  Area,Hoodi,SMaxyay,1715.0,2.0,2.0,95.0,3.0
Built-up  Area,Hoodi,Goeur G,1425.0,2.0,2.0,80.0,2.0
Super built-up  Area,Hoodi,Goeur G,1420.0,2.0,2.0,75.0,2.0
Super built-up  Area,Hoodi,GoAirej,1639.0,3.0,2.0,110.0,3.0
Super built-up  Area,Hoodi,Keers S,1606.0,3.0,3.0,89.55,3.0
Super built-up  Area,Hoodi,GoAirej,1639.0,3.0,1.0,98.32,3.0
Super built-up  Area,Hoodi,Caycend,1026.0,2.0,1.0,60.87,2.0
Super built-up  Area,Hoodi,SMaxyay,1400.0,2.0,1.0,78.0,2.0
Super built-up  Area,Hoodi,GoAirej,1196.0,2.0,0.0,71.74,2.0
Super built-up  Area,Hoodi,Caycend,1553.0,3.0,2.0,83.09,3.0
Built-up  Area,Hoodi,SMaxyay,1500.0,2.0,1.0,84.0,2.0
Super built-up  Area,Hoodi,Caycend,1055.0,2.0,1.0,57.63,2.0
Super built-up  Area,Hoodi,SMaxyay,1925.0,2.0,3.0,114.0,3.0
Super built-up  Area,Hoodi,SMaxyay,1400.0,2.0,1.0,82.0,2.0
Super built-up  Area,Hoodi,GoAirej,706.0,1.0,1.0,48.24,1.0
Super built-up  Area,Hoodi,Keers S,1257.0,2.0,1.0,69.0,2.0
Super built-up  Area,Hoodi,GoAirej,1132.0,2.0,0.0,67.9,2.0
Super built-up  Area,Hoodi,Goeur G,1925.0,3.0,3.0,110.0,3.0
Super built-up  Area,Hoodi,Keers S,1769.0,3.0,3.0,96.87,3.0
Super built-up  Area,Hoodi,Keers S,1257.0,2.0,1.0,71.03,2.0
Super built-up  Area,Hoodi,Keers S,1305.0,2.0,1.0,75.0,2.0
Super built-up  Area,Hoodi,,1490.0,3.0,2.0,79.0,3.0
Built-up  Area,Hoodi,,1240.0,2.0,3.0,65.0,2.0
Super built-up  Area,Hoodi,GoAirej,1108.0,2.0,1.0,74.23,2.0
Super built-up  Area,Hoodi,Keers S,1257.0,2.0,1.0,68.5,2.0
Super built-up  Area,Hoodi,Caycend,1063.0,2.0,1.0,61.17,2.0
Super built-up  Area,Hoodi,Keers S,1259.0,2.0,2.0,69.45,2.0
Super built-up  Area,Hoodi,GoAirej,711.0,1.0,0.0,42.65,1.0
Super built-up  Area,Hoodi,Caycend,1559.0,3.0,1.0,81.55,3.0
Super built-up  Area,Hoodi,Ranuetz,863.0,1.0,0.0,40.55,1.0
Super built-up  Area,Hoodi,SMaxyay,1715.0,2.0,2.0,100.0,3.0
Built-up  Area,Hoodi,,1350.0,3.0,2.0,70.0,3.0
Super built-up  Area,Hoodi,Hahtsde,1447.0,3.0,2.0,76.0,2.0
